id,type,latitude,longitude,name,tourism,leisure,natural,amenity,aeroway,water,wikidata,wikipedia,description,website,FITOFISION,IBGE:CD_ADMINIS,IBGE:GEOCODIGO,access,addr:city,addr:country,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:suburb,admin_level,agrarian,airmark,alt_name,amenity_1,apartment,area,atm,attraction,barrier,beacon:code,beacon:frequency,beacon:type,bicycle,boat,boundary,branch,brand,brand:short,brand:wikidata,brand:wikipedia,bridge,building,building:flats,building:height,building:levels,building:material,bus,cables,capacity,charge,check_date,check_date:currency:XBT,circuits,club,collection_times,communication:microwave,communication:mobile_phone,compressed_air,construction,contact:email,contact:facebook,contact:instagram,contact:phone,content,covered,craft,crossing,crossing:markings,crossing:signals,crossing_ref,cuisine,currency:BRL,currency:XBT,cutting,date,demolished:building,denomination,departures_board,depth,design,destination,destination:backward,destination:forward,destination:street,direction,dispensing,distance,disused:amenity,dog,door,drive_through,ele,email,embankment,emergency,entrance,fax,fee,female,fitness_station,fixme,foot,footway,ford,frequency,fuel:biodiesel,fuel:diesel,fuel:diesel_s10,fuel:e85,fuel:ethanol,fuel:gasoline,fuel:octane_87,fuel:octane_95,generator:method,generator:output:electricity,generator:source,generator:type,golf,government,grades,grass,handrail,healthcare,healthcare:speciality,height,hgv,highway,horse,house,iata,icao,image,incline,incorrect:junction,industrial,intermittent,internet_access,internet_access:fee,internet_access:ssid,junction,landuse,lane_markings,lanes,layer,leaf_type,length,level,line_arrangement,line_attachment,lit,loc_name,location,locked,lot_type,male,man_made,material,maxheight,maxspeed,maxspeed:hgv,maxspeed:type,maxweight,maxwidth,meadow,military,mobile,motor_vehicle,motorroad,name:en,name:es,name:pt,network,noexit,nohousenumber,noname,not:brand:wikidata,not:operator:wikidata,note,office,official_name,old_loc_name,old_name,oneway,opening_hours,operator,operator:short,operator:type,operator:wikidata,operator:wikipedia,outdoor_seating,overtaking,owner,owner:wikidata,owner:wikipedia,ownership,parking,parking:both,parking:both:orientation,parking:right,parking:right:orientation,payment:american_express,payment:cards,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:electronic_purses,payment:lightning,payment:lightning_contactless,payment:maestro,payment:mastercard,payment:onchain,payment:pix,payment:visa,payment:visa_debit,payment:visa_electron,phone,phone:mobile,pipeline,place,plant:method,plant:output:electricity,plant:source,police,population,population:date,postal_code,power,product,protect_class,protection_title,public_transport,railway,recycling_type,ref,ref:CNUC,ref:WDPA,related_law,religion,repair,residential,river,roof:colour,roof:orientation,roof:shape,seamark:type,second_hand,self_service,service,service:vehicle:used_car_sales,service_times,sewer,shelter,shop,sidewalk,sidewalk:left,sidewalk:right,smoking,social_facility,social_facility:for,source,source:date,source:population,sport,stars,start_date,structure,substance,substation,surface,surveillance:type,surveillance:zone,tactile_paving,takeaway,toilets,toilets:wheelchair,toll,tourist_bus,tower:construction,tower:type,tracktype,traffic_calming,traffic_sign,traffic_signals,transit:lanes,tunnel,turn:lanes,turn:lanes:forward,type,voltage,waterway,website:en,wetland,wheelchair,wholesale,width,wikimedia_commons,wires,wood
,Point,-22.9602135,-46.7073534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9610733,-46.7112867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.943516,-46.6592588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9444294,-46.6738775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9433307,-46.6791219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9470703,-46.6882347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9708291,-46.7198007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9536424,-46.6159715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9461662,-46.645272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9425477,-46.6345672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.0431073,-46.6764256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.911826,-46.476127,Guaripocaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.8794349,-46.6102043,Mãe dos Homens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.8902379,-46.4145366,Vargem,,,,,,,Q1760599,pt:Vargem (São Paulo),,,,,,,,,,,,12935-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,town,,,,,10805,2024-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,"IBGE, DOU de 29/08/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.8472493,-46.760685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.0730306,-46.4333995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.038,-46.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.047,-46.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.041,-46.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.051,-46.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.051,-46.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.03,-46.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-23.03,-46.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
